id;amplitude;beyond1std;fpr_mid20;fpr_mid35;fpr_mid50;fpr_mid65;fpr_mid80;linear_trend;max_slope;mad;med_buf_per;pair_slope_trend;per_amp;pdfp;skew;skurt;std;stet_j;stet_k;ls;rcobor;class
3009148007812-nv;1.375;0.0303029995412;0.13925999403;0.174679994583;0.262037992477;0.431854009628;0.611769020557;-0.00018609300605;226.033004761;0.0299999993294;0.969696998596;0.0689655020833;9.96477985382;0.212871000171;-5.3244099617;32.0208015442;0.448327988386;1.17976999283;0.330832988024;1.99570000172;0;SN
3009148007856-nv;0.264999985695;0.319148987532;0.178714007139;0.293374985456;0.466576009989;0.587311983109;0.797532021999;-2.8327200198e-05;39.0190010071;0.0799999982119;1;-0.0344827994704;0.258924990892;0.316130012274;0.14086599648;0.0365347005427;0.111534997821;-0.0728311017156;0.804836988449;1.29793000221;0;SN
3009148007953-nv;0.504999995232;0.133332997561;0.176219001412;0.256408005953;0.35583499074;0.556101024151;0.663008987904;-4.29751016782e-05;57.193901062;0.070000000298;1;0.0344827994704;0.472312986851;0.313638985157;0.804125010967;6.43589019775;0.144875004888;-0.0391282998025;0.625878989697;1.09561002254;0;SN
3009148007954-nv;0.384999990463;0.0740740969777;0.0225070007145;0.0580103993416;0.0707458034158;0.0772906988859;0.103068001568;-1.863199941e-05;58.4641990662;0.00999999977648;1;-0.0384614989161;0.995262026787;0.660059988499;-3.16210007668;10.6705999374;0.18730700016;0.8590670228;0.523361980915;1.22862994671;0;SN
3009148008312-nv;1.42999994755;0.0322581008077;0.181490004063;0.227283000946;0.544486999512;0.544486999512;0.729350984097;-0.000364623003406;6.43974018097;0.00999999977648;0.967742025852;0;12.1826000214;0.050982799381;-5.28216981888;31.2250995636;0.494430989027;1.39531004429;0.324808001518;1.14725995064;0;SN
3009148008313-nv;0.264999985695;0.297872006893;0.159584999084;0.285923987627;0.38343501091;0.542131006718;0.774384021759;-2.12562008528e-05;38.1679000854;0.070000000298;1;-0.0689655020833;0.380383998156;0.323769986629;-0.744059026241;0.919842004776;0.111519999802;0.17893999815;0.75661700964;4.27543020248;0;SN
3019048005790-nv;0.800000011921;0.113208003342;0.169009000063;0.235327005386;0.33824801445;0.505596995354;0.685980975628;-8.92247044249e-06;117.18800354;0.10000000149;1;-0.172414004803;1.35504996777;0.428108006716;-1.07079005241;8.53262042999;0.208927005529;0.0754218026996;0.591840028763;3.25949001312;0;SN
3019048005816-nv;0.289999991655;0.428570985794;0.310023993254;0.517095029354;0.60307097435;0.687449991703;0.880836009979;-3.0046199754e-05;45.2210006714;0.170000001788;1;-0.230768993497;0.297073990107;0.492469012737;0.0212714001536;-0.666962981224;0.188811004162;-0.212615996599;0.916235029697;2.15417003632;0;SN
3019048005892-nv;0.104999996722;0.345454990864;0.158153995872;0.273425996304;0.435878008604;0.598294973373;0.760692000389;-2.01451002795e-05;21.6049003601;0.0299999993294;1;0.103448003531;0.0864256024361;0.116475000978;0.14560200274;0.581237971783;0.0411632992327;0.0393694005907;0.778342008591;2.3580300808;0;SN
3019048006042-nv;0.77999997139;0.300000011921;0.188179001212;0.292199999094;0.456294000149;0.631714999676;0.782460987568;-5.83768996876e-05;95.7289962769;0.155000001192;1;-0.137931004167;1.52323997021;0.68381100893;-0.789054989815;2.75646996498;0.270123004913;-0.0683681964874;0.702841997147;2.04194998741;0;SN
3019048006110-nv;0.59500002861;0.280000001192;0.162446007133;0.279213011265;0.421685993671;0.66725897789;0.892454981804;-3.20762010233e-05;91.6580963135;0.15000000596;1;-0.083333298564;0.513561010361;0.676093995571;0.697978019714;0.356729000807;0.294075012207;-0.000940770027228;0.810322999954;3.04096007347;0;SN
3019048006208-nv;0.444999992847;0.346154004335;0.145881995559;0.289463013411;0.400191992521;0.566051006317;0.7133679986;-0.000121858000057;66.7506027222;0.155000001192;1;-0.0344827994704;0.39315700531;0.667589008808;0.355551987886;-0.17633099854;0.221199005842;0.236222997308;0.800770998001;0.869497001171;0;SN
3019048006237-nv;0.514999985695;0.272727012634;0.102645002306;0.192073002458;0.341544985771;0.53139102459;0.664390981197;-8.77393977134e-05;162.011001587;0.0900000035763;1;-0.0344827994704;0.406047999859;0.518110990524;0.799284994602;2.19239997864;0.18030500412;0.00271334010176;0.771748006344;1.05603003502;0;SN
3019048006280-nv;0.430000007153;0.345454990864;0.132265999913;0.25101301074;0.380519986153;0.502690017223;0.6681240201;-7.26223006495e-05;88.365196228;0.10000000149;1;0.137931004167;0.584892988205;0.514054000378;-0.604489028454;0.926014006138;0.159154996276;0.0145399998873;0.738237023354;4.92836999893;0;SN
3019048006325-nv;0.449999988079;0.33333298564;0.2787129879;0.288688987494;0.298664003611;0.421095013618;0.768437981606;-0.000328421010636;29.9043006897;0.104999996722;1;0;0.368799000978;0.626275002956;0.61127102375;1.78471004963;0.276446014643;0.550463974476;0.794171988964;7.14233016968;0;SN
3019048006499-nv;0.389999985695;0.388889014721;0.133059993386;0.305967003107;0.478819996119;0.650487005711;0.944042026997;-4.32658998761e-05;100.417999268;0.159999996424;1;-0.294117987156;0.354672014713;0.657486975193;0.409693002701;-0.0424704998732;0.240737006068;-0.022870099172;0.826225996017;4.34444999695;0;SN
3019048006511-nv;0;0;NA;NA;NA;NA;NA;0.000176785004442;0;0;1;0;0;0;0;0;0;0;0;0;0;SN
3019048006524-nv;0.254999995232;0.309091001749;0.106357999146;0.264710009098;0.416262000799;0.608289003372;0.848614990711;-9.98890027404e-06;59.5903015137;0.0599999986589;1;0;0.1912419945;0.242480993271;0.570010006428;1.80457997322;0.0892774015665;-0.00619493983686;0.777446985245;0.795530021191;0;SN
3019048006552-nv;0.615000009537;0.75;0.0395466983318;0.0933843031526;0.340642988682;0.587902009487;0.835160970688;-0.000993205001578;12.3330001831;0.115000002086;1;-1;1.63901996613;1.53580999374;-1.05953001976;0;0.488902002573;0.3533180058;0.680397987366;7.66473007202;0;SN
3019048006554-nv;0.414999991655;0.218181997538;0.145174995065;0.309112995863;0.424331992865;0.596181988716;0.805042982101;-2.0905299607e-05;76.8228988647;0.070000000298;1;0.103448003531;0.432188004255;0.2797549963;0.184403002262;4.22606992722;0.11731299758;0.033711399883;0.740155994892;0.935368001461;0;SN
