Name;logre_arcsec;logre_as_err;logre_parsec;logre_ps_err;mre;mre_err;Mre;Mre_err;mue;mue_err;Ellre;Ellre_err;logsig_v;logsig_v_err
NGC4649;1.84;0.01;3.68;0.02;8.7;0.17;-22.08;0.17;18.94;0.18;0.24;0.01;2.537;0.032
NGC4660;1.31;0.02;3.15;0.03;10.89;0.16;-19.89;0.16;18.08;0.21;0.46;0.01;2.292;0.027
NGC4782;1.79;0.01;4.18;0.02;10.62;0.17;-22.89;0.17;20.85;0.18;0.31;0.03;2.585;0.031
NGC4783;1.63;0.02;3.96;0.02;11.44;0.14;-21.78;0.14;20.75;0.19;0.23;0.02;2.438;0.037
NGC4867;0.73;0.03;3.14;0.03;14.42;0.2;-19.23;0.2;19.01;0.22;0.18;0.02;2.348;0.021
NGC4874;1.66;0.02;4.24;0.02;11.64;0.14;-22.78;0.14;21.06;0.2;0.16;0.02;2.418;0.033
NGC4881;1.04;0.02;3.58;0.02;13.37;0.07;-20.92;0.07;19.75;0.1;0.06;0.02;2.286;0.023
NGC4886;0.89;0.03;3.4;0.03;14.19;0.21;-19.95;0.21;19.76;0.25;0.04;0.01;2.19;0.025
NGC4889;1.59;0.01;4.12;0.01;11.36;0.11;-22.89;0.11;20.29;0.13;0.29;0.02;2.592;0.022
NGC5129;1.48;0.18;4.03;0.18;12.31;0.62;-22.02;0.62;20.34;0.49;0.33;0.03;2.4;0.061
NGC5322;1.64;0.01;3.71;0.01;10.17;0.11;-21.73;0.11;19.25;0.12;0.31;0.02;2.491;0.042
NGC5424;1.25;0.03;3.74;0.03;12.72;0.21;-21.31;0.21;19.95;0.25;0.24;0.02;2.149;0.144
NGC5490;1.25;0;3.67;0.01;12.08;0.13;-21.6;0.13;19.36;0.14;0.2;0.02;2.403;0.05
NGC5638;1.62;0;3.65;0.01;10.87;0.02;-20.84;0.02;20.17;0.03;0.09;0.01;2.225;0.052
NGC5796;1.32;0.01;3.52;0.01;11.23;0.16;-21.34;0.16;18.86;0.18;0.17;0.02;2.501;0.019
NGC5846;1.78;0.01;3.79;0.02;10.4;0.09;-21.24;0.09;20.45;0.14;0.09;0.01;2.398;0.026
NGC5966;1.48;0.02;3.85;0.03;12.08;0.19;-21.36;0.19;20.43;0.26;0.38;0.02;2.25;0.059
NGC5982;1.37;0.02;3.58;0.02;11.05;0.08;-21.59;0.08;18.87;0.11;0.29;0.02;2.394;0.026
NGC6086;1.28;0.01;3.95;0.01;12.58;0.16;-22.33;0.16;20;0.17;0.29;0.02;2.509;0.035
NGC6137;1.62;0.01;4.29;0.01;11.84;0.18;-23.05;0.18;20.6;0.2;0.47;0.01;2.453;0.035
NGC6146;1.18;0.01;3.82;0.01;12.47;0.13;-22.3;0.13;19.39;0.15;0.23;0.02;2.364;0.068
NGC6166;2.19;0.03;4.85;0.03;9.46;0.42;-25.42;0.42;23.66;0.39;0.67;0.09;2.48;0.043
