RA,Dec,mag,cz
13.09702778,37.60555556,14,321
12.47111111,9.436388889,13.7,322
12.28483333,12.28944444,15.3,327
12.35494444,11.51027778,12.6,332
12.16566667,36.435,15.5,341
12.42169444,26.71527778,15.4,345
12.54261111,15.41555556,15.3,351
7.4715,40.76972222,15.5,354
10.09183333,70.36444444,15.3,354
12.70419444,38.50333333,15.5,354
13.5675,47.915,14.6,363
7.9505,14.39083333,15.2,368
23.36847222,40.84555556,11.6,370
12.90144444,27.14861111,14.9,374
2.995222222,25.24083333,12,377
12.2545,13.47444444,15.2,381
12.49816667,47.53111111,14.9,381
12.21291667,10.86833333,12.9,382
13.20327778,44.03805556,13.2,384
12.94563889,21.68305556,8.9,408
8.878277778,33.4225,9.7,409
12.29272222,22.54055556,14.5,409
1.798416667,27.43305556,11.4,414
23.41188889,41.34805556,14,419
12.70066667,11.64666667,11,421
14.96272222,71.68083333,13.3,424
13.26330556,42.03361111,9.7,430
12.57522222,9.154722222,15.3,437
1.792027778,27.3275,12.2,438
7.170444444,44.45722222,13.1,438
15.46686111,64.76305556,12.7,441
8.220694444,45.99222222,11.7,447
12.74044444,3.525277778,15.3,447
12.31602778,47.30555556,9.6,449
7.79225,51.19138889,14.8,454
12.59183333,12.22083333,12.5,458
12.38891667,15.82055556,15,460
12.45325,9.420277778,13.1,460
12.35425,45.81194444,14.8,461
22.05933333,43.74861111,15.5,461
12.40694444,70.33444444,14.6,465
13.49780556,47.19555556,8.8,465
12.47827778,12.91583333,15.1,467
12.80641667,51.16555556,15.2,468
12.25658333,51.35027778,14.6,472
2.673611111,38.5625,14.9,476
12.50872222,41.70027778,12.4,481
6.508,39.50388889,15.5,487
12.51586111,11.48361111,13.7,488
13.6125,44.59777778,15.3,489
18.58055556,70.52416667,12.6,489
12.47933333,44.86444444,12.5,490
17.13461111,69.46444444,15,490
10.07802778,29.36472222,15.2,495
12.29730556,47.40916667,13.9,498
12.69236111,41.15083333,11.5,502
9.946027778,28.82638889,15.2,504
12.29169444,45.61916667,11.9,504
12.17308333,10.18861111,15.3,506
10.27102778,41.16638889,15.3,507
12.74152778,13.49833333,13.3,510
9.745527778,9.615277778,15,513
8.031416667,50.7375,12.3,515
2.724944444,37.34083333,11.8,518
8.322166667,50.0075,13.5,521
12.54669444,37.62138889,13.4,522
12.60630556,40.00527778,15.2,522
12.78227778,51.61305556,14.1,523
9.839555556,31.48777778,14.7,524
2.375944444,42.35055556,10.8,528
9.126361111,33.27638889,14.3,528
12.49138889,6.770277778,14.2,528
10.47244444,22.57138889,14.9,531
12.53625,13.41944444,14.2,532
12.56047222,7.871388889,15.4,532
12.46775,9.803888889,11.2,536
10.53808333,27.66861111,13.3,540
9.536083333,21.50194444,9.8,542
9.854722222,7.8275,14.4,544
9.326138889,51.10916667,15.4,546
12.25925,43.435,15.4,546
12.10027778,47.47805556,11.6,550
12.54083333,42.70416667,13.7,550
2.703111111,43.35611111,14.6,551
2.454722222,33.57861111,10.5,553
8.244444444,49.06166667,13,555
12.34388889,46.29166667,13.6,556
12.59069444,14.49666667,11.5,556
8.233027778,45.74277778,13.6,557
12.47602778,8.640833333,15.3,560
10.12211111,10.36277778,13.5,561
10.87533333,36.61944444,11.7,561
12.08977778,28.36527778,15.2,568
10.78952778,14.06944444,15,572
13.49966667,47.26666667,10.6,572
9.543444444,51.87194444,15.5,573
9.579138889,6.425555556,15,574
10.30472222,41.42416667,10.4,574
14.38825,41.77555556,14.3,575
2.561916667,40.52861111,15,578
10.72522222,24.92222222,11.1,578
10.12302778,38.96916667,15.5,580
2.79875,37.53833333,14.3,582
12.42825,12.81055556,13.2,583
12.15491667,29.92777778,12.1,588
12.51002778,41.64277778,10.1,589
13.21441667,40.54333333,15,591
12.56752778,7.699722222,10.6,592
12.57763889,7.160277778,14.2,592
1.479805556,16.68861111,15,594
2.234333333,27.87722222,13,594
2.463805556,31.72722222,15.4,595
12.68769444,11.38722222,14.7,595
13.55636111,49.10277778,14.9,595
8.983805556,39.20777778,15.5,596
2.54,35.49444444,12.5,597
2.673277778,39.06305556,10.5,599
12.47080556,11.79,15.1,601
2.555055556,33.49111111,14.9,603
12.08108333,26.99277778,14,604
11.24361111,12.81777778,11.8,606
12.34852778,38.43083333,15.4,606
12.70222222,32.54055556,9.8,606
12.54236111,8.045,15.3,609
2.068083333,24.20833333,14.7,610
12.25844444,9.585555556,13.7,610
2.513555556,37.13666667,12,611
10.60663889,12.70722222,14.1,614
5.295694444,53.54916667,15.2,615
10.06597222,40.75722222,14.2,616
12.61363889,4.104444444,15.4,616
12.66441667,15.29777778,12.8,616
12.24372222,12.81305556,15.3,622
8.160027778,41.59444444,15.5,623
9.420027778,68.38305556,15.4,623
12.36577778,30.07416667,14.3,624
13.23169444,42.20944444,14.9,625
2.654694444,40.87194444,12.1,626
12.0045,31.22444444,14.8,628
15.01933333,44.69833333,14.3,628
10.71177778,34.44722222,15.1,629
12.08775,30.85555556,14.8,630
10.96322222,36.26138889,15.5,634
12.68141667,10.47611111,15.3,634
12.698,41.27416667,13,636
10.81491667,14.12416667,15.5,637
0.867861111,47.55055556,10.5,640
12.61380556,13.16277778,11.8,644
12.05263889,44.53194444,11.5,649
12.47891667,22.8225,13,650
12.47094444,28.62055556,11.9,652
12.83272222,5.310833333,12.3,652
12.34505556,29.34583333,14.7,656
12.49113889,8.750555556,12.6,656
15.54925,46.4525,15.2,656
9.367305556,50.97916667,9.9,657
12.321,6.293611111,15.3,658
0.853416667,12.02527778,15.4,659
10.85577778,32.76611111,13.1,660
1.129583333,1.063888889,15.4,664
15.61786111,55.26333333,15.2,664
12.53352778,39.83277778,13.9,666
12.61094444,11.10194444,15.1,666
13.0355,58.7,14.6,668
15.265,56.32944444,11.4,669
17.99408333,61.35916667,14,669
15.55775,56.55944444,13,672
8.892444444,51.31388889,10.4,675
12.41344444,18.19527778,15.5,675
12.33522222,29.28083333,11.2,676
12.48266667,13.24194444,13.3,676
12.56680556,39.01972222,15.4,678
10.12194444,47.00611111,14.1,679
10.33191667,45.55,10.7,680
10.79508333,13.98583333,10.7,684
1.611583333,15.78305556,10.5,688
11.192,55.67361111,10.7,689
12.70866667,3.958333333,13.4,690
8.628166667,51.65222222,14,691
8.6605,53.45666667,14.1,691
11.95988889,55.45861111,13.6,692
11.27961111,18.01694444,12.7,695
9.321805556,69.20305556,11.7,696
12.59088889,12.75027778,14.8,697
1.545138889,18.31694444,14.3,698
11.00663889,28.975,11.2,700
11.33752778,12.99111111,8.9,703
11.00522222,13.90222222,10.9,704
12.44080556,31.22333333,10.9,705
12.4265,45.68444444,12.8,707
12.73286111,32.17055556,10.6,707
12.93033333,4.014166667,15,708
11.26444444,41.59111111,12.6,710
11.98113889,42.7225,12.7,710
12.41527778,7.444444444,14.1,710
1.964222222,44.91833333,13.8,712
10.657,1.718333333,14.7,713
16.27169444,47.04638889,14.9,713
2.604472222,25.42333333,14,715
4.691138889,-2.858333333,11.8,716
12.46522222,8.090277778,15.2,716
12.40211111,6.6075,14.2,717
12.46488889,12.29333333,13,718
11.33819444,13.58694444,11.5,719
12.49183333,7.696388889,14.7,720
10.80469444,12.62972222,10,721
12.81988889,3.388611111,13.1,721
10.81877778,6.917222222,14.2,722
12.43555556,58.32194444,15.3,722
11.62894444,47.89305556,11.7,725
1.7075,13.97694444,13.9,731
8.006638889,42.19194444,15.5,731
12.26286111,48.13166667,13.2,731
12.88738889,4.463333333,13,732
12.29997222,6.653888889,14.4,733
15.10816667,55.76333333,11.1,735
12.25463889,13.02388889,13.8,738
22.60094444,33.94833333,13.8,739
10.81491667,46.72083333,15,740
11.38863889,13.62972222,15.5,742
11.43552778,43.58611111,10.4,742
12.39419444,7.053888889,13,742
11.06211111,28.885,13.6,747
23.67772222,26.23611111,14.5,748
12.18422222,50.48305556,11.9,749
12.39111111,46.99388889,12.3,750
11.83411111,15.02361111,15.4,756
12.42338889,18.19111111,10.2,756
11.76572222,50.2,13.2,759
11.97541667,43.9475,12.4,759
12.09280556,50.53972222,11.2,759
11.69738889,15.97333333,14.5,760
12.93027778,4.304444444,12.5,760
12.11755556,43.06555556,11.4,761
12.43094444,27.56222222,13.8,761
12.48963889,9.987777778,15.4,761
11.31552778,13.09361111,9.6,762
12.00525,50.65305556,14.9,768
10.73272222,11.70388889,11.2,770
12.21580556,52.26472222,15,770
11.98238889,30.41166667,13.2,772
7.957166667,35.94027778,15.5,774
12.09947222,43.14527778,14.8,775
8.861277778,51.11861111,15.5,777
11.78377778,57.09222222,15.3,777
13.89072222,5.2075,14.3,777
15.29030556,56.66388889,15.1,781
2.67475,19.29722222,13.5,783
11.97608333,42.73416667,13.4,784
12.08963889,50.35333333,12.8,784
12.75172222,3.057777778,12.4,785
23.73175,26.07555556,11.8,786
12.67305556,3.117777778,13.7,787
12.72852778,16.39333333,11.3,787
12.45086111,12.56111111,15.5,791
21.05930556,29.8975,12.9,792
23.81383333,26.22027778,15.2,792
23.18483333,29.64305556,14.2,796
11.65577778,46.51361111,13.1,797
12.57547222,13.50361111,15.4,799
12.78205556,26.56444444,15,801
1.783527778,12.40583333,15.1,803
12.06769444,31.89583333,11.9,803
11.11363889,43.72277778,14.4,804
9.674166667,48.3375,13.5,805
11.38980556,50.89305556,14.9,805
11.29944444,17.44138889,15.2,807
13.16797222,34.18111111,15.1,808
14.49952778,36.87305556,15.5,809
11.09691667,-0.035,10.1,810
1.713388889,13.155,14.3,812
11.2575,18.11027778,13,812
0.146166667,15.81583333,13.3,813
12.69991667,32.57388889,13.3,813
12.26675,8.202777778,15.4,814
11.68944444,46.39305556,15.4,815
4.074194444,-2.188888889,13.1,817
11.82313889,39.77166667,14.8,817
11.84641667,45.80722222,14.6,818
19.71625,45.2975,13.5,818
12.31161111,17.71805556,15.5,819
22.61791667,34.41694444,10.4,820
10.73966667,56.42055556,15.3,821
12.64122222,4.318888889,13.5,821
12.44738889,9.584444444,12.2,824
11.92922222,55.32027778,12.9,826
11.95483333,49.2825,14.2,828
23.01666667,30.14472222,12.3,828
1.067055556,41.84166667,15.2,829
22.72177778,33.99916667,14.6,829
12.91155556,2.103888889,14.8,830
12.10638889,52.71138889,11.8,831
11.55588889,47.02916667,11.2,832
15.85705556,62.31,11.7,833
12.59938889,27.96,10.7,834
12.15830556,43.68527778,12.1,835
12.77936111,5.955,14.7,835
12.45811111,7.643611111,15.3,838
12.53863889,18.24472222,15.4,838
11.89491667,47.85861111,10.9,839
10.11869444,15.98444444,15.1,840
12.46125,13.07916667,11.9,840
11.28344444,50.585,15.4,842
10.6575,47.94722222,14.4,843
13.20311111,35.67055556,14.1,843
1.717138889,13.64277778,12.8,845
12.9995,2.049444444,15.5,845
15.28380556,39.69611111,15.1,847
10.65263889,41.68722222,12,848
11.66827778,45.9425,14.6,849
12.74597222,12.35111111,14.7,849
13.22438889,36.59444444,10.9,851
16.62627778,37.285,15.4,851
12.04852778,18.7525,14.2,852
12.29355556,29.60805556,12.4,852
0.221472222,17.03,15.2,854
10.77941667,11.82388889,10,855
10.41827778,17.16083333,13.5,856
13.24669444,34.88055556,14.9,856
12.94919444,4.064722222,15.3,859
0.40075,16.48611111,14.6,860
7.488194444,27.90027778,14.4,860
12.56819444,35.51833333,13.2,860
12.25397222,20.65861111,14.3,861
12.30858333,5.559444444,15,863
12.47791667,9.259166667,13.4,865
13.59322222,29.21694444,15.1,867
10.84813889,13.41194444,10.8,868
8.622583333,80.54833333,15.3,869
12.44458333,8.435555556,14.2,869
11.88202778,36.98638889,11.3,870
11.88038889,44.12055556,11,871
13.18236111,37.05888889,10.6,873
15.16302778,57.00083333,11.9,876
11.94783333,50.81722222,15.4,877
12.50511111,13.57777778,13.9,881
8.926277778,58.73416667,12.1,883
12.3535,18.38222222,11.6,883
12.25080556,35.95916667,14.2,884
22.50941667,33.82055556,15.5,884
12.45761111,12.29027778,14.5,885
16.71777778,36.8325,11.9,885
13.20491667,26.68583333,14.6,886
11.8465,56.45611111,15.1,888
12.51130556,9.015555556,13.4,888
4.966333333,68.32305556,13.2,890
12.64319444,2.657777778,14.4,890
12.9105,46.53138889,12,891
15.10941667,55.47888889,15.3,891
6.310194444,78.35833333,11.1,892
12.91347222,19.17666667,14.1,892
12.98402778,34.86388889,12.8,892
12.22138889,43.69805556,13.5,894
12.29091667,17.65055556,14.7,894
4.129666667,69.8125,13.3,895
10.79711111,12.58138889,9.6,896
13.20930556,7.184444444,15.2,896
11.97694444,47.26055556,13.1,897
11.76880556,47.495,11.8,898
12.37397222,29.20861111,13.5,898
12.40475,67.44,15.5,899
16.35786111,28.64027778,14.9,900
12.54338889,18.02305556,15.3,901
12.53491667,11.8175,15.3,902
2.607722222,38.96833333,12.1,903
11.81566667,48.67472222,14,905
11.97494444,38.07722222,15.2,908
12.41111111,3.303333333,14.9,908
11.28083333,17.79527778,14.3,909
11.81061111,48.71083333,10.6,909
12.02325,13.40083333,13.8,910
12.2865,15.32416667,12.3,910
12.2875,16.53138889,13.5,910
16.34958333,65.39055556,12.6,910
17.19919444,72.58194444,15.3,910
2.531277778,19.15305556,15.1,911
12.96238889,2.691388889,15.4,911
12.91422222,2.640277778,14.8,912
12.48308333,3.570555556,11.9,914
12.55188889,32.09222222,14.1,915
12.45619444,10.86666667,15,916
16.91308333,36.50194444,13.8,917
12.55211111,14.575,13.9,918
12.49191667,14.04916667,14.2,919
12.51452778,16.75888889,13.2,919
11.16008333,50.9275,15.4,920
23.02363889,30.23916667,15.4,920
11.86275,38.015,13.5,922
12.39819444,7.106944444,14.5,922
11.70819444,18.3325,14.3,923
12.37211111,14.76111111,15.2,923
12.32463889,17.23055556,15.5,925
12.50830556,19.67305556,15,925
12.14861111,41.74111111,14.3,926
10.53880556,56.08527778,14.3,928
13.35688889,38.53805556,13.7,928
12.43213889,18.21388889,11.9,929
12.41541667,11.70416667,12.1,931
12.45313889,7.262777778,15.3,932
12.85188889,10.91222222,13.2,932
17.31413889,49.88361111,13.9,932
11.50205556,9.276944444,11.5,934
12.06977778,18.44361111,12.5,934
12.33072222,29.61416667,11.1,934
16.56322222,28.985,14.2,934
11.80013889,49.80833333,15.2,936
11.85372222,52.00083333,14.6,936
13.01086111,2.5,12.8,936
12.39313889,16.7225,12.4,937
16.83480556,42.73944444,12.9,938
12.06,16.05555556,14.7,939
12.29891667,0.435277778,15.4,940
12.75888889,13.3325,14.6,940
12.12947222,43.12638889,14.3,943
12.71566667,3.676388889,15.1,943
7.719111111,3.95,15.5,944
12.79625,4.335833333,14.5,944
13.22155556,36.2175,14.7,944
7.616166667,73.71361111,14.9,945
11.84413889,55.35361111,14.2,945
11.94502778,48.33416667,13,946
15.85786111,64.12611111,15.4,946
12.17569444,39.40583333,11.2,952
2.711305556,-0.013333333,9.7,954
11.28186111,18.05166667,10.2,955
10.57911111,-1.969166667,13.8,957
12.26991667,47.88333333,12.4,957
12.42280556,10.01666667,13.4,958
12.91419444,2.653888889,14.9,958
12.71086111,19.94444444,13.7,960
13.28119444,12.54833333,14.6,960
12.71388889,2.688055556,11.8,961
10.75622222,55.96027778,12.9,963
11.00661111,16.69194444,15.2,964
11.82783333,48.42666667,14.1,964
12.74402778,28.47194444,14.7,964
13.34230556,5.407222222,15.3,964
12.49627778,7.999444444,10.2,965
2.654138889,30.15138889,13.1,967
2.695944444,0.443055556,12.5,968
11.23511111,6.577222222,15.1,968
22.13125,31.35916667,11,969
11.54305556,53.06833333,11.8,970
7.207944444,47.16666667,13.2,973
11.86322222,48.68305556,13.1,973
12.16002778,42.53416667,12,974
14.24763889,25.3175,13.4,974
11.45341667,-0.994444444,15,976
12.43275,10.05388889,14.9,977
11.70719444,51.59805556,14.8,978
12.71455556,13.25722222,12.4,978
11.84886111,14.595,15.4,981
10.64608333,53.50305556,11,983
12.39411111,6.954166667,13.5,984
11.99030556,50.96194444,11.5,985
12.51427778,8.36,13.8,985
10.77016667,1.813333333,13.6,986
10.93583333,6.173055556,14.8,986
11.74025,48.83583333,15.5,986
11.84594444,51.82472222,12.5,986
22.47383333,30.2925,13.1,986
11.44733333,64.13833333,14.9,987
11.683,11.47138889,11.4,988
14.10886111,6.029444444,14.5,988
13.64183333,8.442222222,15.5,989
10.92752778,2.395,15.5,991
4.771166667,76.41888889,15.5,993
11.63694444,12.11222222,13.1,993
21.31636111,25.43111111,15,993
11.05711111,18.13583333,11.4,994
12.42855556,7.216388889,14.4,995
12.63011111,5.368333333,13.1,995
12.37555556,29.89555556,11.5,996
11.86716667,13.87861111,15.3,998
11.38205556,13.44111111,15.2,999
13.51622222,19.43694444,14,999
13.36569444,38.735,12.5,1004
11.95708333,39.76388889,14.9,1006
10.85397222,5.84,12.1,1007
12.32925,12.79833333,12.4,1007
12.41769444,12.88722222,10.8,1007
10.77686111,63.22416667,11,1008
22.46405556,29.09583333,13.4,1008
12.34322222,30.79666667,15,1010
10.40180556,70.88222222,14.8,1011
12.88222222,11.23138889,11.1,1011
12.16711111,39.88361111,12.2,1012
11.37822222,64.06694444,14.7,1015
12.41005556,39.38305556,12.3,1016
11.09238889,17.63972222,14.9,1017
11.83672222,42.075,14.2,1018
12.55138889,16.26555556,13.3,1018
13.53125,20.00027778,13.8,1018
10.74152778,60.36777778,15.4,1020
11.18197222,1.093333333,15.5,1021
11.96561111,55.45361111,11.2,1030
12.39161111,19.42694444,13.6,1031
15.58622222,16.54972222,15,1032
0.081166667,17.1925,15.3,1034
12.53411111,11.89027778,15.4,1038
11.56369444,53.12583333,12.2,1039
12.33911111,29.31083333,13.1,1039
12.89141667,2.168333333,12.9,1040
12.36825,9.043888889,13.4,1043
6.414944444,73.12944444,14.6,1044
11.45308333,8.731388889,14.7,1044
12.26427778,47.09138889,12.4,1045
12.62811111,8.559166667,15.1,1045
11.94713889,53.16027778,14.1,1048
12.37013889,7.144166667,14.3,1049
10.88855556,2.626111111,15.4,1050
0.054138889,16.14527778,12,1051
12.79991667,4.433888889,15.5,1051
11.40727778,11.34194444,12.5,1053
11.87705556,-2.469166667,14.1,1053
13.62394444,7.644444444,15.4,1053
8.316166667,57.80305556,12.1,1054
11.98591667,52.7075,14.5,1056
9.927888889,72.20361111,12.3,1060
12.46019444,8.154444444,13.2,1060
12.73236111,13.12583333,11.8,1060
11.04313889,16.73472222,14.5,1061
12.1855,14.27472222,15.3,1063
11.89691667,52.32666667,10.8,1064
10.89,16.77277778,14.3,1066
17.07613889,72.44666667,13.8,1066
12.30233333,28.17527778,11.5,1067
12.41377778,6.759444444,15.5,1067
17.82572222,55.50833333,15.3,1067
11.30613889,18.73833333,14.9,1068
12.65525,-0.531944444,12.6,1068
11.62697222,16.55611111,14.8,1069
8.316055556,58.26305556,14.9,1071
12.14508333,36.80277778,14.7,1071
2.851277778,4.453888889,15.2,1072
10.03258333,55.68166667,11.2,1072
10.92469444,17.14194444,15.2,1072
11.61019444,0.816944444,15.1,1072
12.2535,14.43305556,14.7,1072
11.96,53.37472222,10.7,1075
12.42077778,15.6075,12.6,1075
12.6105,6.621111111,15.2,1075
11.22241667,59.90916667,14.6,1077
13.17730556,36.63444444,14.7,1077
10.31708333,21.28361111,15.3,1079
11.46927778,16.92055556,13.1,1081
4.084333333,70.99611111,13.6,1083
12.37808333,7.95,15.3,1084
12.68294444,11.18444444,15.1,1084
13.70233333,35.65416667,12.7,1084
10.13591667,51.84388889,13.9,1085
22.20847222,45.32861111,14,1087
13.43883333,2.100555556,12.7,1088
5.756916667,72.35638889,13.9,1089
12.80638889,8.487777778,12.1,1090
20.76122222,28.1775,15.5,1090
16.99072222,49.92194444,13.7,1091
10.85977778,4.583055556,14.7,1092
10.90816667,17.34388889,14.1,1092
12.75472222,27.12527778,12.6,1092
10.39183333,19.86527778,12.2,1093
11.46225,17.22388889,11.6,1096
10.06908333,6.510555556,15.2,1097
12.10233333,49.58305556,11.7,1098
12.52569444,11.62472222,13.8,1098
13.93530556,5.255555556,11.4,1098
5.759694444,73.60888889,15.4,1099
12.44738889,11.55861111,15.5,1100
12.74222222,11.19055556,12.1,1100
2.819055556,2.127222222,15.3,1103
12.02886111,62.32777778,14.5,1103
12.35911111,14.60666667,12.2,1103
10.16933333,54.50194444,14.8,1105
22.10455556,47.25138889,13.3,1105
12.72769444,11.55194444,10.3,1107
0.007805556,17.21916667,15.3,1108
11.274,4.336388889,15.2,1109
12.25138889,33.19777778,11.8,1109
12.80361111,-3.333888889,12,1109
12.82752778,15.1675,11.6,1109
12.91227778,13.23722222,14.8,1111
21.63602778,8.961944444,15.3,1111
11.97988889,53.42472222,15.5,1112
12.88922222,1.269444444,13.3,1112
12.4525,5.879722222,14.4,1115
12.58036111,17.81444444,15.2,1115
12.90052778,-1.508333333,15.5,1116
10.90863889,17.28444444,13.1,1119
11.04647222,17.98916667,13.8,1119
13.19202778,36.28194444,13.5,1119
12.70908333,-1.350833333,14.3,1120
4.00775,68.57777778,14.5,1122
12.61213889,13.25805556,15,1122
11.02119444,3.628055556,13.1,1123
10.8755,19.79222222,14.2,1124
10.92902778,17.005,15.1,1124
11.30486111,18.84666667,13.6,1125
16.27702778,68.20277778,14.6,1126
9.2465,74.2325,14.4,1127
11.66852778,58.61305556,14.1,1127
12.5935,3.034444444,14.4,1127
11.90341667,0.136944444,13.7,1128
12.78758333,10.20361111,14.3,1128
13.62555556,8.885555556,11.4,1130
11.45311111,17.03,12.1,1131
12.47188889,8.729722222,15,1131
10.84044444,17.56472222,15.1,1132
10.88338889,17.57388889,14.7,1132
16.773,70.35555556,14.1,1132
13.34394444,9.7875,14.6,1133
10.89519444,9.727777778,15.2,1134
13.94072222,4.396666667,15.3,1134
10.63555556,10.38111111,15.1,1135
12.46147222,12.31583333,14.8,1135
9.217861111,60.24472222,15.4,1137
12.56544444,3.546111111,15.3,1138
12.88611111,25.27833333,15.5,1140
12.15844444,53.10388889,14.3,1144
12.40005556,7.784722222,14.6,1144
12.6075,11.43916667,12.2,1145
21.49988889,2.413888889,14.3,1145
22.14094444,48.44055556,13,1145
11.95691667,57.93,14.5,1146
12.45741667,11.1075,11.4,1146
12.55372222,9.397222222,15.1,1146
14.46730556,21.30305556,14.7,1146
2.727944444,1.376111111,12.5,1147
11.43152778,9.987222222,14.1,1147
12.36738889,32.09527778,14.3,1148
1.821833333,85.26055556,15.1,1149
12.40411111,8.537222222,14.3,1150
10.91352778,17.62111111,13,1151
11.35080556,53.16944444,11,1151
12.39377778,17.54138889,13.7,1151
9.9815,47.73666667,14.4,1152
10.47725,3.561111111,15.2,1153
12.43172222,7.554444444,14.7,1153
13.01638889,-0.029166667,13.2,1153
12.18180556,39.75722222,15.3,1154
10.36327778,56.93027778,12.7,1155
12.42172222,5.741388889,13.9,1155
12.54263889,9.173611111,15.4,1155
12.71316667,11.4425,12.2,1155
12.83063889,2.851111111,14.6,1155
22.01144444,17.73777778,12.2,1155
0.295944444,11.45027778,12.6,1156
12.69980556,12.94277778,14,1156
